,utterance,intent
91,I want to get my hands on the game Control. How can I buy it?,BuyGame
92,I'm thinking of buying Borderlands Can you help me?,BuyGame
93,I want to purchase Genshin Impact. Where can I do that?,BuyGame
94,Can you assist me with buying A Plague Tale: Innocence?,BuyGame
95,I need to buy Rainbow Six Siege. Where can I find it?,BuyGame
96,Where can I buy Red Dead Redemption 2?,BuyGame
97,I'm interested in buying Sekiro: Shadows Die Twice. How can I buy it?,BuyGame
98,Tell me how to purchase Star Wars Jedi: Fallen Order.,BuyGame
99,I want to get my hands on the game Resident Evil Village. How can I buy it?,BuyGame
100,I'm thinking of buying Cyberpunk Can you help me?,BuyGame
101,I want to purchase The Witcher 3: Wild Hunt. Where can I do that?,BuyGame
102,Can you assist me with buying Ghost of Tsushima?,BuyGame
103,I need to buy Call of Duty: Black Ops Cold War. Where can I find it?,BuyGame
104,Where can I buy Dark Souls III?,BuyGame
105,I want to buy Final Fantasy VII Remake. Where can I find it?,BuyGame
106,Can you help me purchase Watch Dogs: Legion?,BuyGame
107,I'm interested in buying Assassin's Creed Syndicate. How can I buy it?,BuyGame
108,I want to get my hands on the game Monster Hunter: Rise. How can I buy it?,BuyGame
109,Tell me how to purchase The Legend of Zelda: Skyward Sword HD.,BuyGame
110,I need to buy Cyberpunk Where can I find it?,BuyGame
111,Where can I buy Assassin's Creed Unity?,BuyGame
112,I'm thinking of buying Monster Hunter World: Iceborne. Can you help me?,BuyGame
113,I want to purchase Super Smash Bros. Ultimate. Where can I do that?,BuyGame
114,Can you assist me with buying Persona 5 Royal?,BuyGame
115,I need to buy Resident Evil 3 Remake. Where can I find it?,BuyGame
116,Where can I buy Star Wars: The Old Republic?,BuyGame
117,I'm interested in buying Dark Souls II: Scholar of the First Sin. How can I buy it?,BuyGame
118,Tell me how to purchase Control: AWE DLC.,BuyGame
119,I want to get my hands on the game Final Fantasy XIV. How can I buy it?,BuyGame
120,I'm thinking of buying Hades. Can you help me?,BuyGame
121,I want to purchase Dead by Daylight. Where can I do that?,BuyGame
122,Can you assist me with buying Resident Evil 4?,BuyGame
123,I need to buy No Man's Sky. Where can I find it?,BuyGame
124,Where can I buy Horizon Zero Dawn?,BuyGame
125,I'm interested in buying Mass Effect Legendary Edition. How can I buy it?,BuyGame
126,Tell me how to purchase Marvel's Spider-Man: Miles Morales.,BuyGame
127,I want to get my hands on the game God of War . How can I buy it?,BuyGame
128,I'm thinking of buying Final Fantasy XV. Can you help me?,BuyGame
129,I want to purchase Yakuza: Like a Dragon. Where can I do that?,BuyGame
130,Can you assist me with buying Celeste? I heard it's a great game.,BuyGame
131,I need to buy Slay the Spire. Where can I find it?,BuyGame
132,Where can I buy Ori and the Blind Forest?,BuyGame
133,I'm interested in buying Stardew Valley. How can I buy it?,BuyGame
134,Tell me how to purchase The Elder Scrolls V: Skyrim Special Edition.,BuyGame
135,I want to get my hands on the game Cuphead. How can I buy it?,BuyGame
136,I'm thinking of buying Divinity: Original Sin Can you help me?,BuyGame
137,I want to purchase Sekiro: Shadows Die Twice. Where can I do that?,BuyGame
138,Can you assist me with buying A Way Out? I heard it's a unique co-op experience.,BuyGame
139,I need to buy Celeste. Where can I find it?,BuyGame
140,Where can I buy Ori and the Will of the Wisps?,BuyGame
141,I'm interested in buying Subnautica. How can I buy it?,BuyGame
142,I want to get my hands on the game Outer Wilds. How can I buy it?,BuyGame
143,I'm thinking of buying Streets of Rage Can you help me?,BuyGame
144,I want to purchase Ori and the Blind Forest: Definitive Edition. Where can I do that?,BuyGame
145,Can you assist me with buying Stardew Valley? I've heard it's very relaxing.,BuyGame
146,Where can I buy Star Wars: Fallen Order? I want to get it.,BuyGame
147,I'm interested in buying Deathloop. How can I buy it?,BuyGame
148,Tell me how to purchase Resident Evil Village.,BuyGame
149,I want to buy Battlefield Where can I find it?,BuyGame
150,Can you help me purchase Persona 5 Strikers?,BuyGame
151,I'm thinking of buying Outriders. Can you help me with that?,BuyGame
152,I want to purchase Mass Effect Andromeda. Where can I do that?,BuyGame
153,Can you assist me with buying Control: The Foundation DLC?,BuyGame
154,I need to buy Destiny Where can I find it?,BuyGame
155,Where can I buy Devil May Cry 5? I want to get it.,BuyGame
156,I'm interested in buying Resident Evil Revelations. How can I buy it?,BuyGame
157,Tell me how to purchase Monster Hunter: World. I heard it's a great game.,BuyGame
158,I want to get my hands on the game God of War Ragnarok. How can I buy it?,BuyGame
159,I'm thinking of buying Cyberpunk Can you help me with that?,BuyGame
160,I want to purchase Star Wars: Battlefront II. Where can I do that?,BuyGame
161,Can you assist me with buying Final Fantasy X/X-2 Remaster?,BuyGame
162,I need to buy Dark Souls Remastered. Where can I find it?,BuyGame
163,Where can I buy The Legend of Zelda: Link's Awakening? I want to get it.,BuyGame
164,I'm interested in buying Resident Evil 2 Remake. How can I buy it?,BuyGame
165,Tell me how to purchase The Last of Us Part II.,BuyGame
166,I want to get my hands on the game Ghost of Tsushima. How can I buy it?,BuyGame
167,I'm thinking of buying Final Fantasy XIII. Can you help me?,BuyGame
168,I want to purchase Red Dead Redemption Where can I do that?,BuyGame
169,Can you assist me with buying Doom Eternal? I heard it's action-packed.,BuyGame
170,I need to buy The Witcher 3: Wild Hunt. Where can I find it?,BuyGame
171,Where can I buy Demon's Souls Remake? I want to get it.,BuyGame
172,I'm interested in buying Resident Evil Village. How can I buy it?,BuyGame
173,Tell me how to purchase Sekiro: Shadows Die Twice. I heard it's challenging.,BuyGame
174,I want to get my hands on the game Destiny 2: Beyond Light. How can I buy it?,BuyGame
175,I'm thinking of buying Assassin's Creed Valhalla. Can you help me?,BuyGame
176,I want to purchase Resident Evil 7: Biohazard. Where can I do that?,BuyGame
177,Can you assist me with buying Marvel's Avengers? I heard it has a great storyline.,BuyGame
178,I need to buy Skyrim Special Edition. Where can I find it?,BuyGame
179,Where can I buy Final Fantasy XIV: Endwalker? I want to get it.,BuyGame
180,I'm interested in buying Control: The AWE DLC. How can I buy it?,BuyGame
181,Tell me how to purchase Star Wars Jedi: Fallen Order. I heard it's a great adventure.,BuyGame
182,I want to get my hands on the game Call of Duty: Modern Warfare. How can I buy it?,BuyGame
183,I'm thinking of buying Monster Hunter Stories 2: Wings of Ruin. Can you help me?,BuyGame
184,I want to purchase Resident Evil Where can I do that?,BuyGame
185,Can you assist me with buying Demon's Souls Remake? I heard it's a visually stunning game.,BuyGame
186,Where can I buy Final Fantasy XVI? I want to get it.,BuyGame
187,I'm interested in buying Elden Ring. How can I buy it?,BuyGame
188,Tell me how to purchase Far Cry I heard it's an exciting game.,BuyGame
189,I want to buy Horizon Forbidden West. Where can I find it?,BuyGame
190,Can you help me purchase Halo Infinite?,BuyGame
191,I'm thinking of buying Dying Light Can you help me with that?,BuyGame
192,I want to purchase Starfield. Where can I do that?,BuyGame
193,Can you assist me with buying God of War ?,BuyGame
194,I need to buy Rainbow Six Extraction. Where can I find it?,BuyGame
195,Where can I buy Gran Turismo 7? I want to get it.,BuyGame
196,I'm interested in buying Gotham Knights. How can I buy it?,BuyGame
197,Tell me how to purchase Hogwarts Legacy. I heard it's a magical experience.,BuyGame
198,I want to get my hands on the game Overwatch. How can I buy it?,BuyGame
199,I'm thinking of buying The Legend of Zelda: Breath of the Wild. Can you help me?,BuyGame
200,I want to purchase Final Fantasy VII Intergrade. Where can I do that?,BuyGame
201,Can you assist me with buying Ghostwire: Tokyo?,BuyGame
202,I need to buy Ratchet & Clank: Rift Apart. Where can I find it?,BuyGame
203,Where can I buy Back 4 Blood? I want to get it.,BuyGame
205,Tell me how to purchase Star Wars: Knights of the Old Republic Remake.,BuyGame
206,I want to get my hands on the game Gran Turismo How can I buy it?,BuyGame
207,I'm thinking of buying Marvel's Spider-Man Can you help me?,BuyGame
208,I want to purchase Final Fantasy XV. Where can I do that?,BuyGame
209,Can you assist me with buying Star Wars: Eclipse?,BuyGame
210,I need to buy Starfield. Where can I find it?,BuyGame
211,I'm interested in buying Horizon Forbidden West. How can I buy it?,BuyGame
212,Tell me how to purchase Redfall. I heard it's an upcoming vampire game.,BuyGame
213,I want to get my hands on the game Fable. How can I buy it?,BuyGame
214,I'm thinking of buying God of War Ragnarok. Can you help me?,BuyGame
215,I want to purchase Metroid Prime Where can I do that?,BuyGame
216,Can you assist me with buying Star Wars Jedi: Fallen Order? I heard it's a great action game.,BuyGame
217,I need to buy Resident Evil Where can I find it?,BuyGame
218,Where can I buy Overwatch? I want to get it.,BuyGame
219,I'm interested in buying The Legend of Zelda: Skyward Sword HD. How can I buy it?,BuyGame
220,I want to get my hands on the game Final Fantasy XIV: Endwalker. How can I buy it?,BuyGame
221,I'm thinking of buying Senua's Saga: Hellblade II. Can you help me?,BuyGame
222,I want to purchase Final Fantasy XIV: Endwalker. Where can I do that?,BuyGame
223,Can you assist me with buying Dying Light 2? I heard it's an open-world zombie game.,BuyGame
224,I need to buy God of War . Where can I find it?,BuyGame
225,Where can I buy Gotham Knights? I want to get it.,BuyGame
226,I'm interested in buying Final Fantasy XVI. How can I buy it?,BuyGame
227,Can you show me some racing games for Windows that were released in the last 3 years?,ReqShowGame
228,I love Bethesda games! What's new from them for Mac?,ReqShowGame
229,Any single-player action-adventure games out there with a female protagonist?,ReqShowGame
230,"Yo, looking for multiplayer shooter games, but nothing too gory, you know?",ReqShowGame
231,What are the top strategy games on Linux that have a medieval theme?,ReqShowGame
232,I need a puzzle game that's relaxing and can be played on Windows and Mac.,ReqShowGame
233,Find me the latest horror games by Capcom. I love a good scare!,ReqShowGame
234,What indie games released in the last month have the best Steam reviews?,ReqShowGame
235,Got any co-op sports games that are set in the 1980s?,ReqShowGame
236,"Looking for a sci-fi MMORPG with aliens and space exploration, any ideas?",ReqShowGame
237,I want a game that's like old-school point & click adventures but with modern graphics.,ReqShowGame
238,Any sandbox games where I can build and manage a city? Preferably with multiplayer mode.,ReqShowGame
239,"Show me the latest fighting games, but only those with anime style graphics.",ReqShowGame
240,I'm in the mood for something with dragons and magic. Any fantasy RPGs you'd recommend?,ReqShowGame
241,What are the best simulation games for Linux involving farming?,ReqShowGame
242,Do you have any stealth action games set in World War II?,ReqShowGame
243,I need a VR racing game that's good for beginners. Any suggestions?,ReqShowGame
244,Show me some rogue-like games with a cyberpunk theme.,ReqShowGame
245,I want a platformer game that's really challenging but has no violence.,ReqShowGame
246,Any music rhythm games that I can play on Mac?,ReqShowGame
247,Can you recommend a first-person shooter that's also a MMO?,ReqShowGame
248,"I'm looking for a game with deep story and multiple endings, preferably an RPG.",ReqShowGame
249,Got any open world games where I can be a villain protagonist?,ReqShowGame
250,What's the latest adventure game with a sci-fi setting and puzzle elements?,ReqShowGame
251,I need a hack and slash game that's easy to play with a controller.,ReqShowGame
252,"Any survival horror games set in space, like with aliens and stuff?",ReqShowGame
253,I want to play a sports game that's focused on basketball. What do you have?,ReqShowGame
254,Can you list turn-based strategy games with a historical theme?,ReqShowGame
255,What are the best co-op zombie games available right now?,ReqShowGame
256,"I'm looking for a VR game that's about exploration and adventure, any recommendations?",ReqShowGame
257,"Show me games workshop strategy games, especially those with warhammer 40k.",ReqShowGame
258,Any side scroller action games with a steampunk theme?,ReqShowGame
259,I'm into JRPGs with a romance subplot. Got anything like that?,ReqShowGame
260,Find me a puzzle platformer that's family friendly and can be played on Linux.,ReqShowGame
261,What are the latest open world action RPGs with magic and swords?,ReqShowGame
262,I'm interested in indie simulation games that focus on building and crafting.,ReqShowGame
263,Any retro arcade shooter games out there?,ReqShowGame
264,Can you recommend some first-person mystery games?,ReqShowGame
265,I want a party based RPG set in a dystopian world.,ReqShowGame
266,What multiplayer sports games do you have that are set in the snow?,ReqShowGame
267,"I'm looking for a single-player game with a war theme, preferably real-time strategy.",ReqShowGame
268,Any casual puzzle games with colorful graphics?,ReqShowGame
269,Show me first-person survival games with a post-apocalyptic setting.,ReqShowGame
270,"I need a real-time tactics military game, something really realistic.",ReqShowGame
271,"Any platformer games with a cartoon style, suitable for kids?",ReqShowGame
272,"I'm looking for episodic adventure games, something like a TV series.",ReqShowGame
273,Can you suggest a hack and slash game with ninjas and samurais?,ReqShowGame
274,I'm into golf games. Any good simulations out there?,ReqShowGame
275,What racing games have the best multiplayer mode?,ReqShowGame
276,Show me indie games that are about time travel and puzzle solving.,ReqShowGame
277,Any baseball games on Windows that are also multi-player?,ReqShowGame
278,Looking for open-world RPGs with dragons on Linux.,ReqShowGame
279,What's the best platformer with a sci-fi theme for Mac?,ReqShowGame
280,I need a first-person shooter that's free to play and has zombies.,ReqShowGame
281,Can you recommend stealth games set in modern cities?,ReqShowGame
282,What are the latest adventure games with pirates for Windows?,ReqShowGame
283,I'm looking for casual puzzle games that can be played in short sessions.,ReqShowGame
284,"Show me strategy games with a post-apocalyptic setting, please.",ReqShowGame
285,Any sports games focused on tennis available for Linux?,ReqShowGame
286,What indie games have the best hand-drawn art?,ReqShowGame
287,I want a simulation game about running a restaurant.,ReqShowGame
288,Find me horror VR games with ghosts and hauntings.,ReqShowGame
289,Any recent co-op action-adventure games for Mac?,ReqShowGame
290,I'm looking for a single-player FPS with an epic story.,ReqShowGame
291,What's the latest multiplayer fighting game with superheroes?,ReqShowGame
292,Show me city builder simulation games with multiplayer mode.,ReqShowGame
293,I need a relaxing indie game with beautiful music.,ReqShowGame
294,Any point & click adventure games based on historical events?,ReqShowGame
295,I'm looking for RPGs with turn-based combat set in space.,ReqShowGame
296,Can you suggest a racing game with realistic physics?,ReqShowGame
297,What are the best single-player platformers with retro graphics?,ReqShowGame
298,I want a mystery game with detective elements and noir atmosphere.,ReqShowGame
299,Show me action games with samurai and swordplay.,ReqShowGame
300,Any survival sandbox games set in a desert?,ReqShowGame
301,I need a family friendly party game for Windows.,ReqShowGame
302,What are the latest multiplayer sports games with golf?,ReqShowGame
303,I'm looking for a space sim with exploration and trading.,ReqShowGame
304,Show me hack and slash games with vampires and werewolves.,ReqShowGame
305,Can you recommend puzzle games with time manipulation mechanics?,ReqShowGame
306,I want a single-player RPG with a choice and consequence system.,ReqShowGame
307,Any arcade racing games with multiplayer mode for Mac?,ReqShowGame
308,What's the best tower defense game that's also multiplayer?,ReqShowGame
309,Show me action games with zombie apocalypse themes.,ReqShowGame
310,I need a side scroller with rogue-like elements and pixel graphics.,ReqShowGame
311,What are the latest co-op adventure games with puzzle solving?,ReqShowGame
312,I'm looking for a simulation game that lets you build and manage a zoo.,ReqShowGame
313,Any multiplayer strategy games with a sci-fi setting?,ReqShowGame
314,Show me indie platformers with unique art styles.,ReqShowGame
315,I want a first-person exploration game with a mystery story.,ReqShowGame
316,Any sports games with extreme skiing or snowboarding?,ReqShowGame
317,I'm looking for JRPGs with anime style graphics and epic stories.,ReqShowGame
318,Show me action games that are set in the wild west.,ReqShowGame
319,I need a multiplayer shooter with tactical gameplay.,ReqShowGame
320,Any VR adventure games with puzzle elements?,ReqShowGame
321,Show me platformers that have co-op mode and are suitable for kids.,ReqShowGame
322,I'm looking for a steampunk strategy game with building elements.,ReqShowGame
323,Can you recommend a single-player action game with a cyberpunk theme?,ReqShowGame
324,What are the latest open-world RPGs with magic and dragons?,ReqShowGame
325,I need a puzzle game that's relaxing and can be played on Windows.,ReqShowGame
326,Show me indie adventure games with hand-drawn graphics.,ReqShowGame
327,Can you show me the latest indie games for Windows?,ReqShowGame
328,"Yo, got any cool action games that came out recently?",ReqShowGame
329,"I'm looking for single-player rpgs on Mac, got any?",ReqShowGame
330,"Hey, what are the newest multiplayer games in the strategy category?",ReqShowGame
331,"I need a racing game that's good for local co-op, any suggestions?",ReqShowGame
332,Got any simulation games that work on Linux?,ReqShowGame
333,I'm a fan of Ubisoft. Can you recommend their latest games?,ReqShowGame
334,Show me all the sports games that were released in the last three years.,ReqShowGame
335,I'm looking for something in the horror genre. What's new?,ReqShowGame
336,Are there any new sandbox games that support cross-platform multiplayer?,ReqShowGame
337,"I want a game with a great soundtrack, preferably an adventure one.",ReqShowGame
338,Do you have any puzzle games that are also educational?,ReqShowGame
339,Find me the best fps games with online multiplayer feature.,ReqShowGame
340,I'm searching for casual games for Windows and Mac.,ReqShowGame
341,Any recent EA games worth checking out?,ReqShowGame
342,Can you recommend some open world games that are VR compatible?,ReqShowGame
343,"I'm into historical games, especially strategy. Got any?",ReqShowGame
344,List all point & click games released in the last five years.,ReqShowGame
345,I need co-op adventure games for a gaming night.,ReqShowGame
346,Show me some rogue-like games with Steam Achievements.,ReqShowGame
347,What are the top action-adventure games for Linux right now?,ReqShowGame
348,"I'm a fan of Valve. List their games, please.",ReqShowGame
349,Got any sci-fi MMOs released in the past two years?,ReqShowGame
350,Can you find rpgs that have mod support?,ReqShowGame
351,I need first-person shooter games with full controller support.,ReqShowGame
352,List all the survival horror games available on Mac.,ReqShowGame
353,Any city builder games that are also multi-player?,ReqShowGame
354,I'm looking for early access simulation games.,ReqShowGame
355,Find me sports games with a female protagonist.,ReqShowGame
356,Show me all the zombie games for Windows.,ReqShowGame
357,I want turn-based strategy games that are single-player.,ReqShowGame
358,Any beat 'em up games on Linux you'd recommend?,ReqShowGame
359,Show me the latest platformer games for Mac.,ReqShowGame
360,Can you find puzzle-platformer games with Steam Cloud?,ReqShowGame
361,List all the visual novel games released in the past year.,ReqShowGame
362,I need hack and slash games with good replay value.,ReqShowGame
363,Find me some retro arcade games.,ReqShowGame
364,Any dark fantasy games for Windows?,ReqShowGame
365,Show me real-time strategy games with online co-op.,ReqShowGame
366,List tower defense games that are free to play.,ReqShowGame
367,I'm looking for mmo games with character customization.,ReqShowGame
368,Any survival games on Linux with multi-player?,ReqShowGame
369,Show me the latest fighting games for Windows.,ReqShowGame
370,Find me racing games with local multi-player mode.,ReqShowGame
371,Any space sim games that support VR?,ReqShowGame
372,I want management games with Steam Workshop support.,ReqShowGame
373,Can you find military simulation games for Mac?,ReqShowGame
374,List all card game games released in the last two years.,ReqShowGame
375,I need platformer games with Steam Leaderboards.,ReqShowGame
376,Show me rogue-lite games that are single-player.,ReqShowGame
377,Could you suggest some indie games compatible with Linux? I'm into indie stuff lately.,ReqShowGame
378,"Yo, got any action games that dropped in the last month?",ReqShowGame
379,I'm a fan of Valve. What single-player games have they made?,ReqShowGame
380,"Show me the latest MMORPGs that work on both Windows and Mac, please.",ReqShowGame
381,I need strategy games that were released in the 2010s.,ReqShowGame
382,List all racing games developed by Ubisoft.,ReqShowGame
383,Got any sandbox games with Steam Workshop support?,ReqShowGame
384,I'm looking for puzzle games that are free to play. Any suggestions?,ReqShowGame
385,Can you show me all the sports games that have multi-player mode?,ReqShowGame
386,I'm into simulation games. Got any that were released in the last three years?,ReqShowGame
387,"Yo, what's up? Any cool shooter games on PS5 I should know about?",ReqShowGame
388,"Hey, I'm looking for adventure games that got released on Xbox One recently.",ReqShowGame
389,Can you recommend some RPGs that support co-op gameplay?,ReqShowGame
390,Looking for action-adventure games from Rockstar Games.,ReqShowGame
391,"I want multi-player racing games on Windows, any good ones?",ReqShowGame
392,What are the latest fantasy games that work on Mac?,ReqShowGame
393,List all the fighting games with online multi-player mode.,ReqShowGame
394,"Show me puzzle-platformer games available for Linux, please.",ReqShowGame
395,I need horror games developed by Capcom.,ReqShowGame
396,Find me some sci-fi single-player games on PS4.,ReqShowGame
397,Any 2D platformer games that came out in the past five years?,ReqShowGame
398,"Show me FPS games with VR support, thanks.",ReqShowGame
399,I'm looking for open world games by Bethesda on Xbox Series X.,ReqShowGame
400,Can you find arcade games with local multi-player mode?,ReqShowGame
401,What stealth games are there with a female protagonist?,ReqShowGame
402,Recommend some mystery games that were released in the 2000s.,ReqShowGame
403,I want to see all zombie games available on Nintendo Switch.,ReqShowGame
404,"List survival games with full controller support, please.",ReqShowGame
405,What are the best city builder games on Steam?,ReqShowGame
406,Can you show me turn-based strategy games from the 90s?,ReqShowGame
407,"Hey, I'm in the mood for some hack and slash games. Any recommendations?",ReqShowGame
408,Looking for retro platformers that were big in the 80s.,ReqShowGame
409,What action RPGs are available that have dragons in them?,ReqShowGame
410,Show me sports games with Steam Achievements on PC.,ReqShowGame
411,"I'm searching for ninja themed games, any platform works.",ReqShowGame
412,Got any cyberpunk role-playing games on Xbox?,ReqShowGame
413,List all historical strategy games with multi-player support.,ReqShowGame
414,I need first-person shooter games that are cross-platform.,ReqShowGame
415,Show me the latest virtual reality games for PSVR.,ReqShowGame
416,Can you find music rhythm games for Nintendo Switch?,ReqShowGame
417,"Heya, any war themed simulation games on PC?",ReqShowGame
418,"I love science fiction. Recommend me some games in that theme, please.",ReqShowGame
419,What are the newest fighting games for PS4?,ReqShowGame
420,Can you list adventure games with open-world elements on Xbox One?,ReqShowGame
421,I'm a fan of puzzle indie games. Any good ones on Steam?,ReqShowGame
422,Find me tactical RPG games that are available on Mac.,ReqShowGame
423,I want space themed games with multi-player options.,ReqShowGame
424,Show me visual novel games that were popular in the early 2000s.,ReqShowGame
425,Looking for casual games on iOS. Any suggestions?,ReqShowGame
426,What are the latest MMO games with dragons in them?,ReqShowGame
427,"Yo, got any Linux indie games that hit the market in the last 3 years?",ReqShowGame
428,"Can u suggest some Windows action titles with co-op mode, released this year?",ReqShowGame
429,"Lookin for simulation games on Mac that got steam achievements, any ideas?",ReqShowGame
430,Hey there! Any early access strategy games available for Windows and Linux?,ReqShowGame
431,I'm a fan of historical RPGs. Got anything new for Windows released in 2022?,ReqShowGame
432,"Need some Mac adventure games with VR support, any recommendations?",ReqShowGame
433,What's the latest Windows single-player action games released last month?,ReqShowGame
434,"Looking for Linux strategy games with online multiplayer, any hot titles?",ReqShowGame
435,"Yo, any Mac shooters with local co-op released in the past 6 months?",ReqShowGame
436,"Hey, any Windows sports games that got full controller support and came out this year?",ReqShowGame
437,What are the top Linux racing games with steam leaderboards released recently?,ReqShowGame
438,Any cool Mac platformers with steam trading cards launched in 2023?,ReqShowGame
439,I need Windows simulation games that have mods and were released in the past 2 years.,ReqShowGame
440,"Looking for Linux puzzle games with online co-op released last year, got any?",ReqShowGame
441,Any multi-player action games for Windows released in the past 5 years?,ReqShowGame
442,Show me some Mac MMOs with cross-platform multiplayer released recently.,ReqShowGame
443,Got any Linux casual games with local multi-player that came out this year?,ReqShowGame
444,Any Windows adventure games with valve anti-cheat enabled released in 2020?,ReqShowGame
445,What are the latest Mac sports games with shared/split screen released in the past year?,ReqShowGame
446,Can you suggest some Linux fps games with steam workshop launched in 2023?,ReqShowGame
447,Looking for Windows racing games that have steam cloud support and were released last month.,ReqShowGame
